Rank,Name,Year,Rating,Link,Director
149,Chinatown,1974,8.1,https://www.imdb.com/title/tt0071315/,Roman Polanski
150,The Gold Rush,1925,8.1,https://www.imdb.com/title/tt0015864/,Charles Chaplin
151,Dial M for Murder,1954,8.1,https://www.imdb.com/title/tt0046912/,Frederick Knott
152,Inside Out,2015,8.1,https://www.imdb.com/title/tt2096673/,Pete Docter
153,V for Vendetta,2005,8.1,https://www.imdb.com/title/tt0434409/,James McTeigue
154,There Will Be Blood,2007,8.1,https://www.imdb.com/title/tt0469494/,Upton Sinclair
155,Det sjunde inseglet,1957,8.1,https://www.imdb.com/title/tt0050976/,Gunnar Björnstrand
156,Warrior,2011,8.1,https://www.imdb.com/title/tt1291584/,Gavin O'Connor
157,Room,2015,8.1,https://www.imdb.com/title/tt3170832/,Emma Donoghue
158,Trainspotting,1996,8.1,https://www.imdb.com/title/tt0117951/,John Hodge
159,No Country for Old Men,2007,8.1,https://www.imdb.com/title/tt0477348/,Ethan Coen
160,The Elephant Man,1980,8.1,https://www.imdb.com/title/tt0080678/,Anthony Hopkins
161,Andhadhun,2018,8.1,https://www.imdb.com/title/tt8108198/,Arijit Biswas
162,The Sixth Sense,1999,8.1,https://www.imdb.com/title/tt0167404/,M. Night Shyamalan
163,Shutter Island,2010,8.1,https://www.imdb.com/title/tt1130884/,Laeta Kalogridis
164,The Thing,1982,8.1,https://www.imdb.com/title/tt0084787/,John Carpenter
165,The Bridge on the River Kwai,1957,8.1,https://www.imdb.com/title/tt0050212/,David Lean
166,Gone with the Wind,1939,8.1,https://www.imdb.com/title/tt0031381/,Victor Fleming
167,Blade Runner,1982,8.1,https://www.imdb.com/title/tt0083658/,Ridley Scott
168,The Third Man,1949,8.1,https://www.imdb.com/title/tt0041959/,Carol Reed
169,On the Waterfront,1954,8.1,https://www.imdb.com/title/tt0047296/,Elia Kazan
170,Eskiya,1996,8.1,https://www.imdb.com/title/tt0116231/,Ugur Yücel
171,Smultronstället,1957,8.1,https://www.imdb.com/title/tt0050986/,Ingrid Thulin
172,Jurassic Park,1993,8.1,https://www.imdb.com/title/tt0107290/,Steven Spielberg
173,Finding Nemo,2003,8.1,https://www.imdb.com/title/tt0266543/,Andrew Stanton
174,Gran Torino,2008,8.1,https://www.imdb.com/title/tt1205489/,Dave Johannson
175,Fargo,1996,8.1,https://www.imdb.com/title/tt0116282/,Joel Coen
176,Kill Bill: Vol. 1,2003,8.1,https://www.imdb.com/title/tt0266697/,Quentin Tarantino
177,The Deer Hunter,1978,8.1,https://www.imdb.com/title/tt0077416/,Michael Cimino
178,Tôkyô monogatari,1953,8.1,https://www.imdb.com/title/tt0046438/,Yasujirô Ozu
179,Stalker,1979,8.1,https://www.imdb.com/title/tt0079944/,Alisa Freyndlikh
180,The Big Lebowski,1998,8.1,https://www.imdb.com/title/tt0118715/,Ethan Coen
181,The Truman Show,1998,8.1,https://www.imdb.com/title/tt0120382/,Peter Weir
182,Relatos salvajes,2014,8.1,https://www.imdb.com/title/tt3011894/,Damián Szifron
183,Mary and Max,2009,8.1,https://www.imdb.com/title/tt0978762/,Adam Elliot
184,Hacksaw Ridge,2016,8.1,https://www.imdb.com/title/tt2119532/,Desmond T. Doss
185,In the Name of the Father,1993,8.1,https://www.imdb.com/title/tt0107207/,Daniel Day-Lewis
186,Gone Girl,2014,8.1,https://www.imdb.com/title/tt2267998/,David Fincher
187,Sherlock Jr.,1924,8.1,https://www.imdb.com/title/tt0015324/,Buster Keaton
188,The General,1926,8.1,https://www.imdb.com/title/tt0017925/,Clyde Bruckman
189,How to Train Your Dragon,2010,8.1,https://www.imdb.com/title/tt0892769/,Dean DeBlois
190,Mr. Smith Goes to Washington,1939,8.1,https://www.imdb.com/title/tt0031679/,Sidney Buchman
191,The Grand Budapest Hotel,2014,8.1,https://www.imdb.com/title/tt2278388/,Wes Anderson
192,Salinui chueok,2003,8.1,https://www.imdb.com/title/tt0353969/,Bong Joon Ho
193,Persona,1966,8.1,https://www.imdb.com/title/tt0060827/,Margaretha Krook
194,Before Sunrise,1995,8.1,https://www.imdb.com/title/tt0112471/,Richard Linklater
195,Catch Me If You Can,2002,8.1,https://www.imdb.com/title/tt0264464/,Steven Spielberg
196,The Red Shoes,1948,8.1,https://www.imdb.com/title/tt0040725/,Michael Powell
197,Into the Wild,2007,8.1,https://www.imdb.com/title/tt0758758/,Sean Penn
198,Le salaire de la peur,1953,8.1,https://www.imdb.com/title/tt0046268/,1 more credit
199,Cool Hand Luke,1967,8.1,https://www.imdb.com/title/tt0061512/,Donn Pearce
200,12 Years a Slave,2013,8.1,https://www.imdb.com/title/tt2024544/,Solomon Northup
201,Network,1976,8.1,https://www.imdb.com/title/tt0074958/,Faye Dunaway
202,Prisoners,2013,8.1,https://www.imdb.com/title/tt1392214/,Denis Villeneuve
203,Life of Brian,1979,8.1,https://www.imdb.com/title/tt0079470/,John Cleese
204,La passion de Jeanne d'Arc,1928,8.1,https://www.imdb.com/title/tt0019254/,Maria Falconetti
205,Stand by Me,1986,8.1,https://www.imdb.com/title/tt0092005/,Stephen King
206,Mad Max: Fury Road,2015,8.1,https://www.imdb.com/title/tt1392190/,George Miller
207,Rang De Basanti,2006,8.1,https://www.imdb.com/title/tt0405508/,Renzil D'Silva
208,Platoon,1986,8.1,https://www.imdb.com/title/tt0091763/,Oliver Stone
209,Andrei Rublev,1966,8.1,https://www.imdb.com/title/tt0060107/,Anatoliy Solonitsyn
210,Rush,2013,8.1,https://www.imdb.com/title/tt1979320/,James Hunt
211,Million Dollar Baby,2004,8.1,https://www.imdb.com/title/tt0405159/,Paul Haggis
212,Hachi: A Dog's Tale,2009,8.1,https://www.imdb.com/title/tt1028532/,Stephen P. Lindsey
213,Logan,2017,8.1,https://www.imdb.com/title/tt3315342/,James Mangold
214,Barry Lyndon,1975,8.1,https://www.imdb.com/title/tt0072684/,Stanley Kubrick
215,Ben-Hur,1959,8.1,https://www.imdb.com/title/tt0052618/,William Wyler
216,White Heat,1949,8.0,https://www.imdb.com/title/tt0042041/,1 more credit
217,Kaze no tani no Naushika,1984,8.0,https://www.imdb.com/title/tt0087544/,Hayao Miyazaki
218,Hotel Rwanda,2004,8.0,https://www.imdb.com/title/tt0395169/,Don Cheadle
219,Amores perros,2000,8.0,https://www.imdb.com/title/tt0245712/,Guillermo Arriaga
220,Harry Potter and the Deathly Hallows: Part 2,2011,8.0,https://www.imdb.com/title/tt1201607/,David Yates
221,Les quatre cents coups,1959,8.0,https://www.imdb.com/title/tt0053198/,Jean-Pierre Léaud
222,Spotlight,2015,8.0,https://www.imdb.com/title/tt1895587/,Tom McCarthy
223,Ace in the Hole,1951,8.0,https://www.imdb.com/title/tt0043338/,Billy Wilder
224,Dead Poets Society,1989,8.0,https://www.imdb.com/title/tt0097165/,Tom Schulman
225,Rebecca,1940,8.0,https://www.imdb.com/title/tt0032976/,Alfred Hitchcock
