Category,Title,Price,City,Date,URL,ImageURLs
bikes,"Hyundai Creta 1.5 EX Diesel, 2021, Diesel","₹ 12,00,000",,2025-10-21T11:54:29+05:30,,https://apollo.olx.in:443/v1/files/1pta9tr2zt3z-IN/image | https://apollo.olx.in:443/v1/files/1erx05dhgb992-IN/image | https://apollo.olx.in:443/v1/files/kjj4obfy1bzo1-IN/image | https://apollo.olx.in:443/v1/files/r5rtyl1p7wzx1-IN/image | https://apollo.olx.in:443/v1/files/818c5c1x07zg2-IN/image | https://apollo.olx.in:443/v1/files/fw7rrgtaj3ds2-IN/image | https://apollo.olx.in:443/v1/files/m9yywe4s2prn3-IN/image | https://apollo.olx.in:443/v1/files/3o6mly5o46c8-IN/image | https://apollo.olx.in:443/v1/files/ehquo9f56fzx1-IN/image | https://apollo.olx.in:443/v1/files/yxmm500xappj3-IN/image | https://apollo.olx.in:443/v1/files/c6g4rbxlexi72-IN/image | https://apollo.olx.in:443/v1/files/d4jieapahs3t-IN/image | https://apollo.olx.in:443/v1/files/vaz5r1clxz4f-IN/image | https://apollo.olx.in:443/v1/files/on4z90c6ha9g3-IN/image | https://apollo.olx.in:443/v1/files/qniee8h5sgrf2-IN/image
bikes,Volkswagen Taigun 2022 Petrol Good Condition,"₹ 13,50,000",,2025-10-23T18:24:20+05:30,,https://apollo.olx.in:443/v1/files/ms9su03bitm91-IN/image | https://apollo.olx.in:443/v1/files/rs7wztvh5cs51-IN/image | https://apollo.olx.in:443/v1/files/zb8bcr5s3r7r-IN/image | https://apollo.olx.in:443/v1/files/7dg9hlkcod8h-IN/image | https://apollo.olx.in:443/v1/files/vr38dmf2fslt3-IN/image
bikes,PART TIME WORK FROM HOME,,,2025-10-23T18:24:24+05:30,,https://apollo.olx.in:443/v1/files/4rq9npnf96ph2-IN/image | https://apollo.olx.in:443/v1/files/l4nnulb1d0g93-IN/image
bikes,Road touch shop,"₹ 6,000",,2025-10-23T18:24:20+05:30,,https://apollo.olx.in:443/v1/files/bx468l57lrpb3-IN/image
bikes,Good condition singal.honar.digital.metar,"₹ 69,999",,2025-10-23T18:24:16+05:30,,https://apollo.olx.in:443/v1/files/98sibo0l7uku1-IN/image | https://apollo.olx.in:443/v1/files/ljsf5ppeqr9d3-IN/image | https://apollo.olx.in:443/v1/files/n7szc2gqckf01-IN/image | https://apollo.olx.in:443/v1/files/5oiuys8ufn0w-IN/image | https://apollo.olx.in:443/v1/files/j76xkzgqlkbl1-IN/image | https://apollo.olx.in:443/v1/files/wtvfk97y0tjq-IN/image | https://apollo.olx.in:443/v1/files/2x12d2ts3agj3-IN/image | https://apollo.olx.in:443/v1/files/q0havh9u1y1b3-IN/image | https://apollo.olx.in:443/v1/files/bny7khcas9yv-IN/image | https://apollo.olx.in:443/v1/files/g1skau3nsstk2-IN/image
bikes,Classic Reborn 350 with dual disk ABS Dark Gun matel gray,"₹ 1,80,000",,2025-10-23T18:24:14+05:30,,https://apollo.olx.in:443/v1/files/ug8m1jkn439l3-IN/image | https://apollo.olx.in:443/v1/files/j95vahapqa2o1-IN/image | https://apollo.olx.in:443/v1/files/fo4evj151lbk-IN/image
bikes,iQOO Z10R 5G,"₹ 16,000",,2025-10-23T18:24:54+05:30,,https://apollo.olx.in:443/v1/files/joxlfnllofdm2-IN/image | https://apollo.olx.in:443/v1/files/uujzymap6bgm2-IN/image | https://apollo.olx.in:443/v1/files/nfwp8ye2smn51-IN/image | https://apollo.olx.in:443/v1/files/4jmotlikvv313-IN/image | https://apollo.olx.in:443/v1/files/7mktvo6f8cor-IN/image | https://apollo.olx.in:443/v1/files/gl3d43lt322v1-IN/image
bikes,Camel thermos,"₹ 1,500",,2025-10-23T18:24:11+05:30,,https://apollo.olx.in:443/v1/files/d7mzl4s657gx1-IN/image | https://apollo.olx.in:443/v1/files/3jzgmqu1ky5t1-IN/image | https://apollo.olx.in:443/v1/files/adc79d0yxrcz1-IN/image
bikes,Singardaan,"₹ 9,000",,2025-10-23T18:24:07+05:30,,https://apollo.olx.in:443/v1/files/ptjq0n484y6m3-IN/image
bikes,Bajaj Avenger 160 Street Black (2020),"₹ 65,000",,2025-10-23T18:23:56+05:30,,https://apollo.olx.in:443/v1/files/foxyhuqrv3d03-IN/image
bikes,It's new builing with two wheeler parking only avilable,"₹ 9,000",,2025-10-23T18:24:04+05:30,,https://apollo.olx.in:443/v1/files/zzd1l0mz0d7h1-IN/image | https://apollo.olx.in:443/v1/files/caq43y4w1d2w-IN/image | https://apollo.olx.in:443/v1/files/3teaaaclvx6x-IN/image | https://apollo.olx.in:443/v1/files/jbrkjjyffjbe1-IN/image | https://apollo.olx.in:443/v1/files/q3jvqxjvkdqz-IN/image
bikes,Pulsar 150 cc 2015 model,"₹ 32,500",,2025-10-23T18:23:59+05:30,,https://apollo.olx.in:443/v1/files/x6p7t7yo198j1-IN/image | https://apollo.olx.in:443/v1/files/cmbusbwxqvrk3-IN/image | https://apollo.olx.in:443/v1/files/2l5sbk5gt82w-IN/image | https://apollo.olx.in:443/v1/files/n2aeng3llbmy1-IN/image | https://apollo.olx.in:443/v1/files/nt9y9zu9xp52-IN/image | https://apollo.olx.in:443/v1/files/ux0ciukbncb52-IN/image | https://apollo.olx.in:443/v1/files/lxpkbvji512v1-IN/image
bikes,Cat 5 wire,"₹ 1,200",,2025-10-23T18:23:59+05:30,,https://apollo.olx.in:443/v1/files/vlle2n4b681d1-IN/image | https://apollo.olx.in:443/v1/files/6ou1aihfae3d3-IN/image | https://apollo.olx.in:443/v1/files/7vp3htg9l4zl-IN/image
bikes,"Kia Sonet GTX, 2020, Diesel","₹ 8,99,999",,2025-10-23T18:24:03+05:30,,https://apollo.olx.in:443/v1/files/yqs4l6xd7jof2-IN/image | https://apollo.olx.in:443/v1/files/pse4l84qdnwn3-IN/image | https://apollo.olx.in:443/v1/files/thil2r4twzvp1-IN/image | https://apollo.olx.in:443/v1/files/3bpp3it53i8f-IN/image | https://apollo.olx.in:443/v1/files/3kssg3kxshcs2-IN/image | https://apollo.olx.in:443/v1/files/aksbv3ac6fya3-IN/image | https://apollo.olx.in:443/v1/files/p2qhky2jgb3b-IN/image | https://apollo.olx.in:443/v1/files/bh6lmdnf55v61-IN/image | https://apollo.olx.in:443/v1/files/pgfy6hrr8fev-IN/image | https://apollo.olx.in:443/v1/files/p42ugwt4o9bl1-IN/image | https://apollo.olx.in:443/v1/files/p7yp60m4c4vf2-IN/image | https://apollo.olx.in:443/v1/files/fdrtu8xa6ej32-IN/image | https://apollo.olx.in:443/v1/files/l2tj3g21p3je1-IN/image
bikes,Need a female roommates,"₹ 6,000",,2025-10-23T18:22:14+05:30,,https://apollo.olx.in:443/v1/files/e6k9phgpeznb-IN/image
bikes,Open plots for sale,"₹ 4,50,000",,2025-10-23T18:22:11+05:30,,https://apollo.olx.in:443/v1/files/el8a9ljygzsm2-IN/image
