Category,Title,Link,Price,Location,Date,Bedrooms,SqFt,ImageURL
apts / housing,"Dream 3,4 BHK Flat in Noida Extension | Affordable Homes for Families",https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/dream-34-bhk-flat-in-noida-extension/7883778651.html,N/A,8br Noida,N/A,8br,N/A,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,Studio Apartment DLF Cyber Cityour property is located in DLF Phase 3,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/studio-apartment-dlf-cyber-cityour/7883549538.html,"₨3,000",1br 350ft 2 Gurgaon,N/A,1br,350sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,Room with attached washroom near Medanta Medicity Hospital,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/room-with-attached-washroom-near/7883548824.html,"₨2,000",250ft 2 Gurgaon,N/A,1br,250sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,Studio Apartments near Medanta Medicity Hospital in Sector 3,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/studio-apartments-near-medanta-medicity/7883282958.html,"₨3,000",300ft 2 Gurgaon,N/A,1br,300sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,Room with attached washroom near Medanta Medicity Hospital,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/room-with-attached-washroom-near/7883280211.html,"₨2,000",200ft 2 Gurgaon,N/A,1br,200sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,"Book 3,4 BHK Flat in Noida Extension for Easy Living",https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/book-34-bhk-flat-in-noida-extension-for/7883262460.html,N/A,Noida,N/A,1br,N/A,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,Comfortable 3 BHK Flats in Noida Extension – Move in Early,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/comfortable-bhk-flats-in-noida/7883260750.html,N/A,2br Noida,N/A,2br,N/A,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,"Best Service Apartments in Gurgaon, Haryana - Lodgers",https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/best-service-apartments-in-gurgaon/7883117660.html,"₨2,000",1br,N/A,1br,N/A,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,Room with attached washroom near Medanta Medicity Hospital,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/room-with-attached-washroom-near/7882119235.html,"₨2,000",250ft 2 Gurgaon,N/A,1br,250sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,Studio Apartments near golf course road gurgaon,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/studio-apartments-near-golf-course-road/7882119123.html,"₨2,500",290ft 2 Gurgaon,N/A,1br,290sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,Room with attached washroom near Medanta Medicity Hospital,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/room-with-attached-washroom-near/7881866323.html,"₨2,000",270ft 2 Gurgaon,N/A,1br,270sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,Studio Apartments near Medanta Medicity Hospital in Sector 38,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/studio-apartments-near-medanta-medicity/7881866022.html,"₨3,000",350ft 2 Gurgaon,N/A,1br,350sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,Studio Apartments near Medanta Medicity Hospital in Sector 3,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/studio-apartments-near-medanta-medicity/7881598718.html,"₨3,000",290ft 2 Gurgaon,N/A,1br,290sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,Studio Apartments near golf course road gurgaon,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/studio-apartments-near-golf-course-road/7881598226.html,"₨2,500",350ft 2 Gurgaon,N/A,1br,350sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
apts / housing,Studio Apartments near golf course road gurgaon,https://delhi.craigslist.orghttps://delhi.craigslist.org/apa/d/studio-apartments-near-golf-course-road/7881178680.html,"₨2,500",350ft 2 Gurgaon,N/A,1br,350sqft,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC"
